,duracion_estadia,genero,edad,ninos,tipo_acomodacion,COL,ES,IT,NL,PE,UK,US
0,7,1,40,0,0,1,0,0,0,0,0,0
2,4,1,39,1,1,0,1,0,0,0,0,0
3,5,1,45,0,1,0,0,0,1,0,0,0
4,5,0,45,1,1,0,0,0,0,0,1,0
5,7,1,47,1,0,0,0,1,0,0,0,0
6,3,1,53,0,1,0,0,0,1,0,0,0
7,2,1,47,0,1,0,0,0,0,0,0,0
8,3,0,39,1,0,1,0,0,0,0,0,0
10,4,0,34,1,0,0,0,0,0,1,0,0
12,7,0,37,1,0,1,0,0,0,0,0,0
13,4,1,38,1,1,0,0,0,0,0,0,1
14,5,0,27,1,1,0,0,0,0,0,0,1
17,4,0,47,1,0,1,0,0,0,0,0,0
18,3,1,39,1,0,0,0,0,0,0,0,1
20,3,1,33,0,0,1,0,0,0,0,0,0
21,4,0,43,1,1,0,1,0,0,0,0,0
22,2,1,42,1,1,0,0,0,0,1,0,0
24,4,1,40,1,1,1,0,0,0,0,0,0
26,2,0,32,0,1,1,0,0,0,0,0,0
29,5,1,34,0,1,0,0,0,0,0,0,0
30,3,1,38,0,0,0,0,1,0,0,0,0
31,3,0,40,1,0,0,1,0,0,0,0,0
32,3,1,47,0,1,0,0,0,0,1,0,0
34,5,1,39,1,1,0,0,0,0,0,0,0
35,3,1,45,1,0,0,0,0,0,0,1,0
36,5,1,43,1,0,0,1,0,0,0,0,0
37,2,0,40,1,0,0,0,0,1,0,0,0
38,8,1,40,0,1,0,0,0,0,0,0,0
39,4,0,45,1,1,0,1,0,0,0,0,0
40,6,1,32,0,1,0,0,0,1,0,0,0
41,4,1,50,0,1,0,0,0,0,1,0,0
42,3,0,37,0,1,0,0,1,0,0,0,0
43,6,0,39,1,0,0,0,1,0,0,0,0
44,2,0,37,1,0,0,0,0,0,0,1,0
45,4,1,42,1,0,0,1,0,0,0,0,0
46,3,1,47,1,0,0,0,0,0,0,1,0
47,5,1,40,0,0,0,0,0,0,0,0,1
48,2,0,44,0,0,0,0,1,0,0,0,0
49,4,1,39,0,0,0,0,1,0,0,0,0
50,4,1,34,1,1,1,0,0,0,0,0,0
51,7,0,48,0,0,0,0,0,0,0,0,1
52,7,1,38,1,1,0,0,0,1,0,0,0
53,4,0,37,1,0,0,0,0,0,0,1,0
54,8,0,40,0,1,0,0,1,0,0,0,0
55,4,1,39,0,0,0,1,0,0,0,0,0
56,5,1,46,0,1,0,0,0,1,0,0,0
57,6,1,44,1,0,0,0,0,0,0,0,1
